size,step,parallel_safety_fraction,mean_agreement_j1_to_k,n_positions
70m,0,0.0,0.0026455025654286146,252
70m,1,0.0,0.0026455025654286146,252
70m,8,0.0,0.003968254197388887,252
70m,128,0.007936508394777775,0.21164020895957947,252
70m,1000,0.02380952425301075,0.17724867165088654,252
70m,4000,0.0396825410425663,0.19312168657779694,252
70m,16000,0.0634920671582222,0.2222222238779068,252
70m,32000,0.0515873022377491,0.1944444477558136,252
70m,64000,0.0555555559694767,0.20899471640586853,252
70m,96000,0.0396825410425663,0.1984127014875412,252
70m,128000,0.0476190485060215,0.2063492089509964,252
70m,143000,0.0357142873108387,0.20105819404125214,252
160m,0,0.0,0.025132274255156517,252
160m,1,0.0,0.025132274255156517,252
160m,8,0.0,0.017195766791701317,252
160m,128,0.007936508394777775,0.12433862686157227,252
160m,1000,0.0357142873108387,0.17724867165088654,252
160m,4000,0.0714285746216774,0.21296297013759613,252
160m,16000,0.0634920671582222,0.22883598506450653,252
160m,32000,0.0714285746216774,0.22751322388648987,252
160m,64000,0.0634920671582222,0.22751322388648987,252
160m,96000,0.0992063507437706,0.2579365074634552,252
160m,128000,0.1031746044754982,0.2658730149269104,252
160m,143000,0.0595238097012043,0.23677249252796173,252
410m,0,0.0,0.02777777798473835,252
410m,1,0.0,0.02777777798473835,252
410m,8,0.4047619104385376,0.7645502686500549,252
410m,128,0.007936508394777775,0.11243386566638947,252
410m,1000,0.0317460335791111,0.17724867165088654,252
410m,4000,0.0634920671582222,0.21296297013759613,252
410m,16000,0.0873015895485878,0.2341269850730896,252
410m,32000,0.1111111119389534,0.2817460298538208,252
410m,64000,0.0833333358168602,0.2579365074634552,252
410m,96000,0.1111111119389534,0.27248677611351013,252
410m,128000,0.1031746044754982,0.27116402983665466,252
410m,143000,0.115079365670681,0.26719576120376587,252
