size,step,auroc_mean,auroc_std,n_positive,n_total
70m,0,nan,nan,0,251
70m,1,nan,nan,0,251
70m,8,nan,nan,0,251
70m,128,nan,nan,2,251
70m,1000,0.8714285714285716,0.23211538298959886,6,251
70m,4000,0.7965136054421769,0.07211408276596183,10,251
70m,16000,0.8698581560283689,0.08364285358226686,16,251
70m,32000,0.7628102836879433,0.034653483088231886,13,251
70m,64000,0.769710401891253,0.19900777813606402,14,251
70m,96000,0.7333758503401361,0.2068805814341879,10,251
70m,128000,0.8351359338061466,0.08625069257417137,12,251
70m,143000,0.7112670068027211,0.28425480612949894,9,251
160m,0,nan,nan,0,251
160m,1,nan,nan,0,251
160m,8,nan,nan,0,251
160m,128,nan,nan,1,251
160m,1000,0.8645408163265305,0.15740886943667923,9,251
160m,4000,0.7268963922294172,0.10521236853107888,18,251
160m,16000,0.7659574468085106,0.1260736796782353,16,251
160m,32000,0.7052343509096516,0.19116525976361304,18,251
160m,64000,0.7634751773049646,0.1093878233193657,16,251
160m,96000,0.6475362318840581,0.09041454829581684,25,251
160m,128000,0.7405925925925926,0.08839914467430961,26,251
160m,143000,0.7517730496453902,0.1094131107839824,15,251
410m,0,nan,nan,0,251
410m,1,nan,nan,0,251
410m,8,0.5691954022988506,0.041241188863527053,102,251
410m,128,nan,nan,1,251
410m,1000,0.9020408163265305,0.18588240876303186,8,251
410m,4000,0.7804964539007092,0.13092936210904177,16,251
410m,16000,0.8588405797101449,0.06150487981896959,22,251
410m,32000,0.7994208754208755,0.06953782526839594,28,251
410m,64000,0.8486956521739131,0.10634723950209733,21,251
410m,96000,0.7895791245791246,0.0801499320573184,28,251
410m,128000,0.8730370370370372,0.10956714936274804,26,251
410m,143000,0.8445589225589225,0.08302382914731649,29,251
